---
source: R[v4.5.0]::data.table[v1.17.0]::fwrite
creation_time_utc: 2025-08-18 13:52:36
schema:
  fields:
  - name: species
    type: character
  - name: year_
    type: integer
  - name: nest
    type: character
  - name: male_id
    type: integer
  - name: female_id
    type: integer
  - name: lat
    type: numeric
  - name: lon
    type: numeric
  - name: initiation
    type: POSIXct
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
species,year_,nest,male_id,female_id,lat,lon,initiation
REPH,2017,R1001,270170235,270170236,71.3258972167969,-156.641006469727,2017-06-20T03:47:00Z
REPH,2017,R101,270170173,270170159,71.3224029541016,-156.626998901367,2017-06-23T12:36:00Z
REPH,2017,R102,270170144,270170145,71.3189010620117,-156.664993286133,2017-06-22T04:02:00Z
REPH,2017,R103,270170353,270170352,71.3252029418945,-156.630004882812,2017-06-24T16:44:00Z
REPH,2017,R1101,270170179,270170166,71.3224029541016,-156.628997802734,2017-06-22T04:57:00Z
REPH,2017,R1102,270170180,270170271,71.3203964233398,-156.636001586914,2017-06-25T11:30:00Z
REPH,2017,R201,270170345,17201,71.3208999633789,-156.641006469727,2017-06-18T23:09:36Z
REPH,2017,R202,270170366,270170367,71.315803527832,-156.662994384766,2017-06-23T17:10:00Z
REPH,2017,R203,270170146,270170147,71.3207015991211,-156.673004150391,2017-06-22T01:42:00Z
REPH,2017,R204,270170157,270170158,71.3207015991211,-156.641998291016,2017-06-23T12:42:00Z
REPH,2017,R205,270170272,270170172,71.3221969604492,-156.626998901367,2017-06-22T16:45:00Z
REPH,2017,R206,270170279,17206,71.3228988647461,-156.63200378418,2017-06-21T23:02:00Z
REPH,2017,R207,270170396,270170278,71.3200988769531,-156.630004882812,2017-06-26T01:32:00Z
REPH,2017,R301,270170256,270170253,71.3181991577148,-156.654006958008,2017-06-21T14:48:00Z
REPH,2017,R302,270170266,270170265,71.3205032348633,-156.643997192383,2017-06-22T13:32:00Z
REPH,2017,R303,270170263,270170264,71.3190994262695,-156.643997192383,2017-06-23T14:03:00Z
REPH,2017,R304,270170277,17304,71.3220977783203,-156.626998901367,2017-06-19T20:54:30Z
REPH,2017,R305,270170244,270170242,71.3162994384766,-156.651000976562,2017-06-24T17:18:40Z
REPH,2017,R401,270170349,270170156,71.3223037719727,-156.64599609375,2017-06-21T11:30:00Z
REPH,2017,R402,270170171,270170163,71.3203964233398,-156.632995605469,2017-06-22T13:23:00Z
REPH,2017,R403,270170347,270170130,71.3197021484375,-156.639999389648,2017-06-22T16:20:00Z
REPH,2017,R404,270170162,270170168,71.321403503418,-156.630004882812,2017-06-20T11:26:00Z
REPH,2017,R405,270170343,270170127,71.3255004882812,-156.638000488281,2017-06-23T15:16:00Z
REPH,2017,R406,270170161,270170160,71.3221969604492,-156.649002075195,2017-06-25T11:28:00Z
REPH,2017,R407,270170254,270170250,71.315803527832,-156.656997680664,2017-06-20T21:50:45Z
REPH,2017,R501,270170350,270170237,71.3211975097656,-156.664993286133,2017-06-20T11:29:54Z
REPH,2017,R801,270170262,270170252,71.3182983398438,-156.647003173828,2017-06-20T15:39:00Z
REPH,2017,R802,270170245,270170246,71.3160018920898,-156.656997680664,2017-06-20T15:51:00Z
REPH,2017,R803,270170368,270170259,71.3172988891602,-156.654006958008,2017-06-23T12:06:00Z
REPH,2017,R804,270170175,270170176,71.3219985961914,-156.639007568359,2017-06-25T19:42:00Z
REPH,2017,R805,270170370,270170369,71.3180999755859,-156.664993286133,2017-06-21T14:35:45Z
REPH,2017,R901,270170321,270170125,71.3245010375977,-156.671997070312,2017-06-07T07:42:00Z
REPH,2017,R902,270170337,270170125,71.3249969482422,-156.671997070312,2017-06-15T12:48:00Z
REPH,2017,R903,270170148,270170149,71.3246002197266,-156.643005371094,2017-06-21T16:54:00Z
REPH,2017,R904,270170155,270170154,71.3230972290039,-156.647994995117,2017-06-20T17:04:00Z
REPH,2017,R905,270170363,270170403,71.3219985961914,-156.662002563477,2017-06-22T21:42:00Z
REPH,2018,R202,270170347,270170087,71.3237,-156.636413,2018-06-19T09:17:00Z
REPH,2018,R203,270170752,270170753,71.315649,-156.66456,2018-06-23T07:22:25Z
REPH,2018,R204,270170756,270170755,71.313535,-156.659959,2018-06-24T11:40:00Z
